
B a
躍 -13.545086702068764D
身 -6.348100550644994D
躯 -9.493301754265458D
躺 -11.935648789634662D
軀 -9.493301754265458D
車 -6.403524923604163D
軋 -11.440952547798556D
軌 -7.88316843151126D
軍 -5.549409405626706D
軒 -11.935648789634662D
軟 -8.11223844256312D
軲 -12.957300037166643D
軸 -9.168072609218425D
軼 -11.787228784516389D
較 -12.903232815896368D
載 -8.9309567747092D
輔 -10.085620412282632D
輕 -8.274654539010262D
輜 -10.79781578781327D
輝 -10.267941969076587D
輥 -14.7490595063947D
輩 -9.98404061946471D
輪 -7.944444986332075D
輯 -12.803149357339386D
輸 -8.897815340062037D
輻 -9.765452884686363D
輿 -8.984913882011407D
轂 -12.903232815896368D
轄 -9.805038961380427D
轅 -10.74780536723861D
轆 -12.264152856606698D
轉 -8.18051353974366D
轎 -8.414596446164229D
轟 -9.563537633992006D
轡 -12.264152856606698D
车 -6.403524923604163D
轧 -11.440952547798556D
轨 -7.88316843151126D
轩 -11.935648789634662D
转 -8.18051353974366D
轮 -7.944444986332075D
软 -8.11223844256312D
轰 -9.563537633992006D
轱 -12.957300037166643D
轴 -9.168072609218425D
轶 -11.787228784516389D
轻 -8.274654539010262D
载 -8.9309567747092D
轿 -8.414596446164229D
较 -12.903232815896368D
辅 -10.085620412282632D
辈 -9.98404061946471D
辉 -10.267941969076587D
辊 -14.7490595063947D
辎 -10.79781578781327D
辐 -9.765452884686363D
辑 -12.803149357339386D
输 -8.897815340062037D
辔 -12.264152856606698D
辕 -10.74780536723861D
辖 -9.805038961380427D
辘 -12.264152856606698D
辛 -11.787228784516389D
辞 -10.0607744136961D
辟 -15.154524614502863D
辣 -9.164310849296534D
辦 -6.713456813476117D
辨 -14.055912325834754D
辩 -9.46585577765671D
辫 -10.41394979150857D
辭 -10.0607744136961D
辮 -10.41394979150857D
辯 -9.46585577765671D
辰 -12.351164233596329D
農 -5.598681475591198D
边 -7.336496675972134D
辽 -12.803149357339386D
达 -9.800299616016531D
迁 -9.926093375418994D
迂 -14.7490595063947D
迅 -13.014458451006591D
过 -6.179020892431936D
迎 -12.158792340948873D
运 -6.144588306871401D
近 -8.893032930181821D
返 -12.086471679369247D
还 -10.654714944172598D
这 -11.915846162338482D
进 -7.3826143580671D
远 -8.330694570458487D
违 -10.682885821139294D
连 -8.118815971210266D
迟 -12.903232815896368D
迦 -13.075083072823027D
迪 -12.803149357339386D
迫 -9.758626919615962D
迭 -13.449776522264438D
述 -13.075083072823027D
迷 -9.75636191298511D
迹 -8.32743723858818D
追 -9.758626919615962D
退 -10.079350799269037D
送 -11.658017053036383D
适 -9.878964235077442D
逃 -11.222698981778537D
逆 -9.328524507122413D
选 -8.283952126648442D
逊 -10.949831995111897D
逍 -12.756629341704492D
透 -9.298021052828998D
逐 -12.712177579133659D
递 -12.851939521508818D
途 -8.502952740913136D
逗 -12.589575257041327D
這 -11.915846162338482D
通 -6.6320454186573885D
逝 -12.803149357339386D
速 -7.000024439350921D
造 -7.996399797952924D
連 -8.118815971210266D
逮 -13.362765145274809D
週 -6.956022682412752D
進 -7.3826143580671D
逸 -11.61356529046555D
逻 -8.253793950457691D
遁 -14.7490595063947D
遂 -12.264152856606698D
遇 -11.915846162338482D
遊 -7.263193856840974D
運 -6.144588306871401D
遍 -11.59917655301345D
過 -6.179020892431936D
遐 -13.901761646007495D
遑 -13.20861446544755D
道 -6.595997559593648D
達 -9.800299616016531D
違 -10.682885821139294D
遗 -7.102865057660909D
遙 -10.238199999877848D
遜 -10.949831995111897D
遞 -12.851939521508818D
遠 -8.330694570458487D
遣 -12.803149357339386D
遥 -10.238199999877848D
適 -9.878964235077442D
遭 -8.54046948029807D
遮 -12.264152856606698D
遲 -12.903232815896368D
遷 -9.926093375418994D
選 -8.283952126648442D
遺 -7.102865057660909D
遼 -12.803149357339386D
避 -10.220050681372172D
邀 -12.063482161144547D
還 -10.654714944172598D
邊 -7.336496675972134D
邏 -8.253793950457691D
邓 -11.381763676408225D
那 -12.803149357339386D
邦 -11.59917655301345D
邪 -10.036530802086109D
邮 -8.54248357966977D
邯 -15.154524614502863D
邵 -12.264152856606698D
邸 -13.768230253382972D
邻 -8.773554978865446D
郁 -10.837036500966553D
郊 -11.571005676046752D
郎 -9.928777940789661D
郡 -9.899636805882162D
郧 -14.461377433942918D
部 -5.1506262760348225D
郵 -8.54248357966977D
都 -7.770535156524354D
鄂 -13.449776522264438D
鄉 -7.850344972064711D
鄖 -14.461377433942918D
鄙 -13.650447217726589D
鄢 -12.957300037166643D
鄧 -11.381763676408225D
鄰 -8.773554978865446D
酊 -14.238233882628707D
酋 -9.910135589980381D
配 -8.704844393901189D
酒 -7.272398392570047D
酚 -12.063482161144547D
酣 -13.901761646007495D
酥 -11.503866373209124D
酪 -13.139621593960598D
酬 -11.440952547798556D
酮 -12.1340997283585D
酯 -13.075083072823027D
酰 -10.61656317820822D
酱 -10.427136795790522D
酵 -10.74780536723861D
酶 -12.957300037166643D
酷 -10.362874861572154D
酸 -8.600591210477052D
酿 -12.1340997283585D
醃 -12.184110148933161D
醇 -12.446474413400653D
醉 -10.427136795790522D
醋 -10.472393387378643D
醍 -13.20861446544755D
醒 -12.803149357339386D
醛 -12.903232815896368D
醜 -9.950517927426068D
醪 -13.362765145274809D
醫 -6.071108936100347D
醬 -10.427136795790522D
醴 -13.650447217726589D
釀 -12.1340997283585D
采 -9.389333511718018D
釉 -10.671522062488979D
释 -10.843725489117348D
釋 -10.843725489117348D
里 -8.553294495773986D
重 -6.11473534372172D
野 -7.79251406324313D
量 -8.911329059228759D
金 -5.326515203142692D
釘 -10.405254084541015D
針 -8.364427378988958D
釣 -11.503866373209124D
釩 -14.7490595063947D
釬 -13.139621593960598D
釵 -15.154524614502863D
釹 -14.238233882628707D
鈉 -11.720537410017716D
鈍 -13.650447217726589D
鈐 -13.768230253382972D
鈑 -13.545086702068764D
鈔 -10.519795626273227D
鈕 -12.446474413400653D
鈞 -11.59917655301345D
鈣 -10.654714944172598D
鈦 -13.282722437601272D
鈴 -10.505337543097998D
鈷 -14.7490595063947D
鈾 -10.935016909326757D
鉀 -10.41394979150857D
鉑 -11.99752419335275D
鉗 -11.359035425330669D
鉚 -12.803149357339386D
鉛 -9.580471246521446D
鉤 -11.23255127822155D
鉬 -11.955851496952182D
鉭 -13.449776522264438D
鉴 -11.019358057760508D
鉸 -12.413684590577661D
鉻 -11.59917655301345D
銀 -5.52583581525441D
銅 -7.91495076758086D
銑 -11.628164089886702D
銘 -9.975554005587393D
銜 -13.768230253382972D
銥 -14.461377433942918D
銨 -12.712177579133659D
銮 -12.184110148933161D
銳 -10.584981606157923D
銷 -7.821501600116382D
銹 -11.45322264039037D
銻 -13.901761646007495D
銼 -13.139621593960598D
鋁 -8.95503015389072D
鋃 -14.461377433942918D
鋅 -12.957300037166643D
鋇 -12.321311270446646D
鋒 -10.627315969984483D
鋤 -11.381763676408225D
鋦 -14.7490595063947D
鋪 -9.599628920554379D
鋯 -12.236753882418585D
鋸 -10.338283458434832D
鋼 -6.756452853994489D
錄 -9.392473231722686D
錐 -10.177790872082289D
錘 -11.393324498809301D
錙 -14.7490595063947D
錛 -15.154524614502863D
錠 -12.446474413400653D
錢 -9.026564322806344D
錦 -8.723193532569384D
錨 -11.99752419335275D
錫 -10.051614044297436D
錮 -13.768230253382972D
錯 -7.990191008120279D
錳 -11.019358057760508D
錾 -14.7490595063947D
鍋 -9.413125276275355D
鍍 -10.68861649584828D
鍘 -12.158792340948873D
鍛 -10.964869872476438D
鍵 -10.753921594256045D
鎂 -12.446474413400653D
鎖 -10.632736037453823D
鎢 -11.129172923767713D
鎦 -13.650447217726589D
鎧 -11.003484708604217D
鎬 -13.901761646007495D
鎮 -9.129867100039117D
鎳 -11.503866373209124D
鏈 -9.156829517644246D
鏊 -12.712177579133659D
鏜 -12.628795970194608D
鏟 -11.272960816559426D
鏡 -8.817698883356423D
鏢 -14.238233882628707D
鏤 -15.154524614502863D
鏨 -14.7490595063947D
鏵 -14.055912325834754D
鐃 -13.014458451006591D
鐐 -12.589575257041327D
鐘 -9.129867100039117D
鐮 -11.102739666699557D
鐲 -11.315072301909552D
鐵 -6.395091376081427D
鑄 -9.686464473367732D
鑌 -13.282722437601272D
鑑 -11.019358057760508D
鑭 -13.139621593960598D
鑰 -9.586180110741767D
鑲 -12.712177579133659D
鑷 -12.851939521508818D
鑼 -10.001233020005085D
鑽 -9.060954844457727D
鑾 -12.184110148933161D
鑿 -11.804620527228257D
针 -8.364427378988958D
钉 -10.405254084541015D
钎 -13.139621593960598D
钒 -14.7490595063947D
钓 -11.503866373209124D
钕 -14.238233882628707D
钗 -15.154524614502863D
钙 -10.654714944172598D
钛 -13.282722437601272D
钝 -13.650447217726589D
钞 -10.519795626273227D
钟 -9.129867100039117D
钠 -11.720537410017716D
钡 -12.321311270446646D
钢 -6.756452853994489D
钣 -13.545086702068764D
钤 -13.768230253382972D
钥 -9.586180110741767D
钦 -10.766267430078345D
钧 -11.59917655301345D
钨 -11.129172923767713D
钩 -11.23255127822155D
钮 -12.446474413400653D
钱 -9.026564322806344D
钳 -11.359035425330669D
钴 -14.7490595063947D
钵 -11.688788711703136D
钻 -9.060954844457727D
钼 -11.955851496952182D
钽 -13.449776522264438D
钾 -10.41394979150857D
铀 -10.935016909326757D
铁 -6.395091376081427D
铂 -11.99752419335275D
铃 -10.505337543097998D
铅 -9.580471246521446D
铆 -12.803149357339386D
铙 -13.014458451006591D
铜 -7.91495076758086D
铝 -8.95503015389072D
铠 -11.003484708604217D
铡 -12.158792340948873D
铣 -11.628164089886702D
铧 -14.055912325834754D
铬 -11.59917655301345D
铭 -9.975554005587393D
铰 -12.413684590577661D
铱 -14.461377433942918D
铲 -11.272960816559426D
铵 -12.712177579133659D
银 -5.52583581525441D
铸 -9.686464473367732D
铺 -9.599628920554379D
链 -9.156829517644246D
销 -7.821501600116382D
锁 -10.632736037453823D
锄 -11.381763676408225D
锅 -9.413125276275355D
锆 -12.236753882418585D
锈 -11.45322264039037D
锉 -13.139621593960598D
锋 -10.627315969984483D
锌 -12.957300037166643D
锐 -10.584981606157923D
锑 -13.901761646007495D
锒 -14.461377433942918D
锔 -14.7490595063947D
错 -7.990191008120279D
锚 -11.99752419335275D
锛 -15.154524614502863D
锡 -10.051614044297436D
锢 -13.768230253382972D
锣 -10.001233020005085D
锤 -11.393324498809301D
锥 -10.177790872082289D
锦 -8.723193532569384D
锭 -12.446474413400653D
键 -10.753921594256045D
锯 -10.338283458434832D
锰 -11.019358057760508D
锱 -14.7490595063947D
锻 -10.964869872476438D
镀 -10.68861649584828D
镁 -12.446474413400653D
镂 -15.154524614502863D
镇 -9.129867100039117D
镊 -12.851939521508818D
镍 -11.503866373209124D
镏 -13.650447217726589D
镐 -13.901761646007495D
镔 -13.282722437601272D
镖 -14.238233882628707D
镗 -12.628795970194608D
镜 -8.817698883356423D
镢 -11.642979175671842D
镣 -12.589575257041327D
镧 -13.139621593960598D
镯 -11.315072301909552D
镰 -11.102739666699557D
镶 -12.712177579133659D
長 -6.445637260046007D
长 -6.445637260046007D
門 -7.0073811259738354D
閃 -9.429306859126598D
閉 -10.972474471861657D
開 -7.058925913124674D
閏 -11.54360670185864D
閒 -8.937918513417998D
間 -8.473042779843864D
閘 -10.427136795790522D
閣 -10.209317125729063D
閥 -11.129172923767713D
閨 -9.617190347484327D
閩 -11.858687748498534D
閬 -14.055912325834754D
閭 -13.014458451006591D
閱 -10.44050002360269D
閹 -10.79781578781327D
閻 -10.677187800024656D
閼 -13.362765145274809D
閾 -11.658017053036383D
闊 -8.950977463440097D
闌 -12.086471679369247D
闔 -14.461377433942918D
闖 -12.55183492905848D
關 -5.7733450228417595D
闢 -15.154524614502863D
门 -7.0073811259738354D
闪 -9.429306859126598D
闭 -10.972474471861657D
问 -5.564481485641956D
闯 -12.55183492905848D
闰 -11.54360670185864D
闲 -8.937918513417998D
间 -8.473042779843864D
闷 -10.920418109905604D
闸 -10.427136795790522D
闹 -10.418326166108368D
闺 -9.617190347484327D
闻 -12.210085635336423D
闽 -11.858687748498534D
闾 -13.014458451006591D
阀 -11.129172923767713D
阁 -10.209317125729063D
阅 -10.44050002360269D
阆 -14.055912325834754D
阇 -15.847671795062809D
阈 -11.658017053036383D
阉 -10.79781578781327D
阎 -10.677187800024656D
阏 -13.362765145274809D
阑 -12.086471679369247D
阔 -8.950977463440097D
阖 -14.461377433942918D
队 -7.586145346666341D
阡 -12.515467284887604D
防 -8.183794536359338D
阳 -7.684015618894376D
阴 -7.376731988164033D
阵 -8.061950898528185D
阶 -6.506741853383024D
阻 -8.769330215505137D
阿 -7.570514022630999D
陀 -10.330218898598101D
陂 -13.20861446544755D
附 -8.796682347994764D
际 -11.478223942595786D
陆 -7.608342367161014D
陇 -11.262704316392236D
陈 -9.910135589980381D
陋 -11.753327232840707D
陌 -10.486379629353383D
降 -7.491351829234656D
限 -8.61566146339805D
陕 -12.55183492905848D
陛 -8.31290913802527D
陝 -12.55183492905848D
陡 -10.529551801218592D
院 -6.953275805256378D
陣 -8.061950898528185D
除 -10.326210877200563D
陨 -9.856207247954826D
险 -10.0607744136961D
陪 -9.884092451444362D
陰 -7.376731988164033D
陳 -9.910135589980381D
陵 -9.343383621526163D
陶 -8.324730876990438D
陷 -9.910135589980381D
陸 -7.608342367161014D
陽 -7.684015618894376D
隆 -11.336812288545959D
隊 -7.586145346666341D
階 -6.506741853383024D
随 -9.251891281101496D
隐 -8.62073577656952D
隔 -9.878964235077442D
隕 -9.856207247954826D
隘 -11.262704316392236D
隙 -12.803149357339386D
際 -11.478223942595786D
障 -8.295434507502007D
隧 -9.007125265774121D
隨 -9.251891281101496D
險 -10.0607744136961D
隱 -8.62073577656952D
隴 -11.262704316392236D
隶 -11.165540567938589D
隸 -11.165540567938589D
难 -8.050791452279286D
雀 -11.516938454776477D
雁 -11.955851496952182D
雄 -8.950977463440097D
雅 -10.160696438722988D
集 -6.063474663718004D
雇 -9.633063696640617D
雉 -12.264152856606698D
雌 -9.36151100611872D
雍 -9.601565029581245D
雎 -15.847671795062809D
雏 -10.030560635099604D
雕 -8.409876673390876D
雙 -6.6589637232137395D
雛 -10.030560635099604D
雜 -7.468591905776205D
雞 -8.442176131863336D
離 -8.367807663897782D
難 -8.050791452279286D
雨 -8.319877807341364D
雪 -8.246269460479075D
雲 -8.13657054322265D
零 -8.32797939094627D
雷 -7.868332899800481D
雹 -12.264152856606698D
電 -5.080914612629778D
雾 -10.216460013241443D
需 -6.704433226627361D
霁 -15.154524614502863D
霄 -12.957300037166643D
震 -9.878964235077442D
霉 -10.241869728766812D
霍 -11.45322264039037D
霓 -11.222698981778537D
霖 -14.461377433942918D
霜 -10.29471221014119D
霞 -11.120283976350468D
霧 -10.216460013241443D
霪 -15.847671795062809D
霰 -12.321311270446646D
露 -9.534123748785714D
霸 -9.331478719019845D
霹 -10.56446806632482D
霽 -15.154524614502863D
靈 -8.048328396846888D
青 -6.7958583313148635D
靓 -12.628795970194608D
静 -8.693837993483966D
靚 -12.628795970194608D
靛 -13.362765145274809D
靜 -8.693837993483966D
非 -9.03093591446784D
靠 -10.238199999877848D
靡 -14.7490595063947D
面 -5.986204871789293D
革 -9.071164802690625D
靴 -10.717773080139734D
靶 -10.529551801218592D
鞋 -9.202580825557165D
鞍 -9.986885571596943D
鞏 -12.381935892263082D
鞑 -10.371208243131298D
鞘 -11.896428076481381D
鞠 -13.768230253382972D
鞣 -12.184110148933161D
鞭 -9.13714868561038D
韁 -10.505337543097998D
韃 -10.371208243131298D
韌 -9.967138808662108D
韓 -12.381935892263082D
韜 -11.584991918021492D
韧 -9.967138808662108D
韩 -12.381935892263082D
韬 -11.584991918021492D
韭 -10.766267430078345D
音 -7.146159044189943D
韵 -9.776934067060319D
韶 -14.461377433942918D
韻 -9.776934067060319D
響 -9.268420583052707D
頁 -9.915426607614798D
頂 -8.412233775248257D
項 -6.2928910168162355D
順 -8.689936310812902D
須 -10.167499186045742D
頌 -11.42883118726621D
預 -7.469051253510511D
頑 -10.590176423035027D
頒 -15.847671795062809D
頓 -12.803149357339386D
領 -5.877881653272618D
頜 -11.416854996219495D
頭 -6.735164783435389D
頰 -13.20861446544755D
頸 -9.79793833983085D
頹 -10.864065173354472D
頻 -8.176310871872165D
顆 -9.462477396065083D
題 -7.397687353340021D
額 -7.95559337381469D
顎 -13.768230253382972D
顏 -8.06319855932634D
顓 -11.370334980584602D
願 -9.261500140208133D
顛 -12.756629341704492D
類 -7.266752912766026D
顧 -8.073236284759851D
顫 -12.086471679369247D
顯 -9.150637547396324D
顱 -11.027390229457772D
顳 -12.321311270446646D
顴 -11.59917655301345D
页 -9.915426607614798D
顶 -8.412233775248257D
项 -6.2928910168162355D
顺 -8.689936310812902D
须 -10.167499186045742D
顽 -10.590176423035027D
顾 -8.073236284759851D
顿 -12.803149357339386D
颁 -15.847671795062809D
颂 -11.42883118726621D
预 -7.469051253510511D
颅 -11.027390229457772D
领 -5.877881653272618D
颈 -9.79793833983085D
颊 -13.20861446544755D
颌 -11.416854996219495D
频 -8.176310871872165D
颓 -10.864065173354472D
颖 -12.803149357339386D
颗 -9.462477396065083D
题 -7.397687353340021D
颚 -13.768230253382972D
颛 -11.370334980584602D
颜 -8.06319855932634D
额 -7.95559337381469D
颞 -12.321311270446646D
颠 -12.756629341704492D
颤 -12.086471679369247D
颧 -11.59917655301345D
風 -5.599495851134127D
颶 -11.283323603594972D
飄 -12.381935892263082D
飆 -15.847671795062809D
风 -5.599495851134127D
飓 -11.283323603594972D
飘 -12.381935892263082D
飙 -15.847671795062809D
飛 -6.94114287746829D
飞 -6.94114287746829D
食 -6.551979755987122D
飢 -8.92502790358692D
飨 -15.154524614502863D
飯 -8.3097091352946D
飲 -7.8136890603795885D
飴 -13.20861446544755D
飼 -9.21830854162536D
飽 -11.736797930889496D
飾 -10.326210877200563D
餃 -10.024625899579789D
餅 -10.837036500966553D
餉 -12.236753882418585D
養 -8.682178320001963D
餌 -10.89891190468464D
餐 -8.908417849021301D
餑 -11.787228784516389D
餓 -11.203280895921436D
餖 -15.154524614502863D
餘 -8.278776131655812D
餚 -12.628795970194608D
餛 -11.628164089886702D
餡 -11.138141593750474D
館 -9.740648907320555D
餳 -15.847671795062809D
餶 -15.847671795062809D
餺 -15.847671795062809D
餾 -11.478223942595786D
餿 -12.515467284887604D
饃 -11.704537068671275D
饅 -9.455754681670207D
饋 -14.7490595063947D
饕 -12.236753882418585D
饗 -15.154524614502863D
饞 -12.957300037166643D
饥 -8.92502790358692D
饧 -15.847671795062809D
饭 -8.3097091352946D
饮 -7.8136890603795885D
饰 -10.326210877200563D
饱 -11.736797930889496D
饲 -9.21830854162536D
饴 -13.20861446544755D
饵 -10.89891190468464D
饷 -12.236753882418585D
饺 -10.024625899579789D
饼 -10.837036500966553D
饽 -11.787228784516389D
饾 -15.154524614502863D
饿 -11.203280895921436D
馄 -11.628164089886702D
馅 -11.138141593750474D
馆 -9.740648907320555D
馈 -14.7490595063947D
馉 -15.847671795062809D
馊 -12.515467284887604D
馋 -12.957300037166643D
馍 -11.704537068671275D
馎 -15.847671795062809D
馏 -11.478223942595786D
馒 -9.455754681670207D
馓 -13.901761646007495D
首 -6.568085250349811D
香 -7.516808181838065D
馨 -12.712177579133659D
馬 -6.972524478209459D
馭 -15.154524614502863D
馱 -12.264152856606698D
馴 -9.774627260962404D
駁 -10.927690869234683D
駐 -8.584342177585972D
駑 -15.847671795062809D
駒 -14.461377433942918D
駕 -8.945934588406235D
駙 -10.181245106950376D
駝 -10.234543688674739D
駟 -13.545086702068764D
駢 -11.019358057760508D
